date,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,c21,c22,c25,c26,c29,c30,d31,d32,d33,d39,d40,e41,e42,e43,e49,e50,f51,f52,f53,f57,f58,f59,f60,g61,g62,g63,g64,g67,g68,g69,g70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80
20180627,,12.318788528442383,12.585582733154297,,13.161184310913086,,13.468000411987305,,12.50481128692627,14.867764472961426,13.575624465942383,12.613056182861328,11.612715721130371,,,,,,,15.314310073852539,,12.507741928100586,,,13.04306697845459,14.809842109680176,,,,12.926416397094727,14.31006908416748,,,,12.584918022155762,13.200798034667969,,,,,10.911666870117188,13.096488952636719,13.13499927520752,11.155302047729492,,,,11.462828636169434,12.681304931640625,13.340950965881348,13.528611183166504,12.059475898742676,12.457296371459961,13.297128677368164,12.480801582336426,12.97619915008545,13.415902137756348,13.3691987991333,13.394294738769531,13.317500114440918,13.788907051086426
20180628,,,,13.714574813842773,13.798906326293945,,,11.659403800964355,,14.663826942443848,,,12.985769271850586,13.515633583068848,13.806829452514648,13.858548164367676,13.52508544921875,,,,,,13.12426471710205,,,14.782588005065918,,14.596976280212402,,,,,14.79318904876709,13.245753288269043,,,13.610332489013672,14.270792007446289,13.875842094421387,,,12.986806869506836,13.057186126708984,12.22192668914795,13.000446319580078,13.969213485717773,13.135555267333984,11.625378608703613,12.796553611755371,12.922733306884766,12.934069633483887,11.64448070526123,,,12.638484954833984,13.264493942260742,13.38648796081543,13.539405822753906,13.306571006774902,13.242070198059082,13.394956588745117
20180629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.724390983581543,,,,13.373663902282715,,,14.013017654418945,14.027883529663086,,,,,,,13.410614013671875,13.866683959960938,14.088491439819336,14.2280855178833,14.462120056152344
20180630,,,,,,,,12.422234535217285,12.414381980895996,15.018006324768066,,,,,,,,,12.761824607849121,14.867911338806152,,,,,,14.030139923095703,,,,,,13.5392427444458,,,,,,,,,,,13.082380294799805,,,,,,,13.478835105895996,13.170403480529785,,,,,,,14.058648109436035,13.54521656036377,,
20180701,13.85257339477539,13.38698673248291,12.82339096069336,13.146235466003418,13.394553184509277,13.613737106323242,13.60816478729248,12.974785804748535,12.417017936706543,14.707783699035645,14.020237922668457,,11.99850845336914,12.850496292114258,13.29694938659668,13.520625114440918,13.312070846557617,12.720865249633789,12.94035816192627,14.881050109863281,,,12.719358444213867,,13.286507606506348,15.072431564331055,,,,,14.954156875610352,,,,,,12.506298065185547,13.133333206176758,,,,,,12.061322212219238,13.081048965454102,13.806111335754395,,,,,,11.803182601928711,13.203086853027344,13.044553756713867,12.768940925598145,13.003961563110352,,,,,
20180702,13.967656135559082,13.373918533325195,12.853472709655762,13.089612007141113,13.293392181396484,13.400832176208496,13.421523094177246,12.746052742004395,12.350554466247559,14.54867935180664,14.340567588806152,12.972701072692871,11.967263221740723,12.742908477783203,13.078278541564941,13.275081634521484,13.085624694824219,12.497333526611328,12.725349426269531,14.632742881774902,13.958636283874512,13.966875076293945,12.256786346435547,,13.00765609741211,14.673505783081055,13.955933570861816,14.04837703704834,,13.007498741149902,14.442500114440918,13.345945358276367,14.157454490661621,13.348625183105469,12.766040802001953,13.422290802001953,12.892230987548828,13.492755889892578,13.392744064331055,,10.80852222442627,13.20547103881836,13.223332405090332,12.208114624023438,12.97427749633789,13.966955184936523,12.975750923156738,11.585681915283203,12.625360488891602,13.234514236450195,13.382048606872559,12.021894454956055,13.225879669189453,12.886282920837402,12.61153793334961,12.943614959716797,13.08354377746582,13.224926948547363,13.371323585510254,13.257770538330078,13.788727760314941
20180703,,,,,,13.827776908874512,13.864469528198242,13.092658996582031,12.342375755310059,13.763093948364258,,,,,,,13.685126304626465,12.803838729858398,12.531110763549805,13.63025951385498,,,,,12.781131744384766,13.30846118927002,,,,13.190587043762207,13.090636253356934,,,,12.913290977478027,12.98596477508545,,,,,,13.207897186279297,13.159478187561035,,,,,,,13.042579650878906,13.089164733886719,,,,,,,,,,13.481315612792969
20180704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180705,13.973657608032227,13.578105926513672,13.080690383911133,12.934019088745117,13.417916297912598,13.415322303771973,,,,,14.34614372253418,,,12.357065200805664,12.857856750488281,,,,,,14.399147987365723,,,,,,13.967917442321777,13.892623901367188,,,,13.060115814208984,13.582249641418457,12.921340942382812,,,12.915645599365234,,,,,,,,,,,11.673818588256836,,,,12.482421875,,,,,,12.951727867126465,,,
20180706,,13.577258110046387,,13.313437461853027,,,,,,,14.30284595489502,,,,13.121723175048828,,,,,,14.059356689453125,,,,,,14.154491424560547,,,,13.25958251953125,13.614375114440918,13.49431324005127,,12.578490257263184,13.285765647888184,12.47889518737793,12.921817779541016,,,10.779755592346191,13.261123657226562,13.349365234375,12.086804389953613,12.522977828979492,13.051018714904785,,,12.711116790771484,13.303714752197266,13.595560073852539,12.250714302062988,,,,,,,13.088420867919922,,
