date,GAB,Ceduna W,Ceduna E,Pt Lincoln W,Pt Lincoln E,Spencer Gulf N,Spencer Gulf C,Spencer Gulf S,SVG - NW,SVG - NE,SVG - SW,SVG - SE,KI - W,KI - E,Victor - W,Victor - E,Lk Alex,Victor Harbour-Mt Gambier,Mt Gambier,Pt Fairy
20240612,,,14.768646240234375,14.268388748168945,15.747511863708496,14.62276554107666,15.089361190795898,15.249604225158691,14.345293045043945,13.973379135131836,14.998748779296875,,15.684379577636719,14.574101448059082,13.80562686920166,13.036309242248535,12.681486129760742,13.28209114074707,14.307266235351562,14.150792121887207
20240613,,,,,,,,,,,,,,,,,,,,
20240614,15.537604331970215,,,,,,,,,,,,,,,,,15.466448783874512,14.383833885192871,
20240615,15.551785469055176,14.84023666381836,14.64025592803955,14.84587574005127,,,,,,,,,,,,,,,,13.757563591003418
20240616,15.003679275512695,14.919144630432129,14.805547714233398,14.984574317932129,16.116832733154297,14.533905029296875,14.670502662658691,15.051390647888184,14.053667068481445,13.811250686645508,14.69881534576416,14.812850952148438,15.82401180267334,14.412431716918945,13.572833061218262,13.058884620666504,12.071612358093262,13.667529106140137,,
20240617,,,,16.32818031311035,,14.484980583190918,14.932247161865234,,,,15.15225887298584,14.989999771118164,16.049880981445312,14.450993537902832,13.606902122497559,13.135912895202637,11.905263900756836,13.540019035339355,,13.705408096313477
20240618,,,,,,,,,,,,,,,,12.730818748474121,,14.84307861328125,,14.450800895690918
20240619,,,,,15.513922691345215,15.17149829864502,15.397876739501953,15.270663261413574,14.29512882232666,14.238723754882812,15.125998497009277,,16.53653335571289,15.145499229431152,,,,14.943693161010742,14.293987274169922,
20240620,15.815352439880371,14.557299613952637,14.137937545776367,,,,,,,,,,,,,,,,14.967196464538574,14.436088562011719
20240621,15.53872013092041,14.46587085723877,14.12193775177002,14.071492195129395,14.982547760009766,13.727415084838867,14.257112503051758,14.542348861694336,,,14.038047790527344,14.302433967590332,15.657249450683594,13.896397590637207,13.23002815246582,,,,,
20240622,15.810811996459961,14.785331726074219,14.378585815429688,14.031405448913574,14.998065948486328,14.049388885498047,14.328181266784668,14.60979175567627,13.719846725463867,13.55141544342041,14.593220710754395,14.304699897766113,,14.187203407287598,13.392668724060059,12.735976219177246,11.381999969482422,13.784761428833008,14.308478355407715,
20240623,16.291030883789062,15.603033065795898,14.524641990661621,14.799166679382324,13.83173942565918,13.603992462158203,13.935721397399902,13.78918743133545,12.87214183807373,13.214753150939941,13.988934516906738,14.14209270477295,,13.955253601074219,13.435070037841797,12.987010955810547,11.349374771118164,14.311809539794922,14.48914623260498,
20240624,,,,,,13.918822288513184,,,13.670623779296875,13.375872611999512,14.65524959564209,14.358060836791992,15.852874755859375,14.031100273132324,13.488123893737793,12.939589500427246,11.188779830932617,14.10206127166748,,12.265714645385742
20240625,15.228976249694824,,,,,,,,,,,,,,,,,,14.158182144165039,13.667031288146973
20240626,14.731949806213379,14.01060962677002,13.956991195678711,13.87551498413086,14.659934997558594,13.558635711669922,14.023111343383789,13.9332275390625,,,,,16.12733268737793,,,,,,,
20240627,,,,,,,,,,,,,,,,,,,,
20240628,,,,,13.920111656188965,13.650361061096191,14.196287155151367,13.975624084472656,13.272093772888184,12.704458236694336,14.177579879760742,14.091681480407715,,14.085583686828613,13.382564544677734,12.726194381713867,10.924749374389648,12.039546012878418,,13.5742769241333
20240629,,,,,,,,,,,,,,,,,,,,
20240630,,,,,,,,,,,,14.490676879882812,,14.91672134399414,13.852241516113281,13.075343132019043,,12.763581275939941,14.381438255310059,13.33970832824707
20240701,15.10949993133545,14.17203140258789,13.64332389831543,13.9662504196167,,,,,,,,,,,,,,,14.886146545410156,13.738592147827148
20240702,15.285460472106934,14.327363014221191,14.046762466430664,13.903436660766602,14.62662124633789,12.826258659362793,13.623841285705566,13.825228691101074,12.672917366027832,,13.439153671264648,13.493334770202637,15.136004447937012,13.585225105285645,12.815113067626953,12.304134368896484,,12.250566482543945,,
20240703,15.528066635131836,14.231392860412598,13.981939315795898,13.8245267868042,,12.926178932189941,13.472872734069824,13.748588562011719,12.510200500488281,12.287615776062012,13.462797164916992,13.508420944213867,15.535323143005371,13.423595428466797,12.8607816696167,12.603967666625977,10.445999145507812,13.561541557312012,,12.434746742248535
