date,Esperance_1,Esperance_2,Esperance_3,Mundrabilla,Eucla_1,Eucla_2,Yalata,Ceduna
20250109,,,,,0.42284756898880005,0.2817605137825012,0.32273149490356445,0.4004811644554138
20250110,0.26836690306663513,0.23634545505046844,,,,,,0.4845546782016754
20250111,0.14740727841854095,0.21241147816181183,0.21203278005123138,0.2330787479877472,0.19272693991661072,0.14920195937156677,,
20250112,0.1850002408027649,0.21898552775382996,0.17295370995998383,0.27965468168258667,0.27030014991760254,0.252898246049881,0.2692996561527252,0.24436411261558533
20250113,0.19030426442623138,0.20349599421024323,0.1661849468946457,0.29287272691726685,0.34835731983184814,0.21999342739582062,0.2645619511604309,0.273013710975647
20250114,,,,,,,,
20250115,0.20874471962451935,0.2792539894580841,,,,,0.22006842494010925,0.1913827508687973
20250116,0.19645455479621887,0.23005996644496918,0.18670272827148438,0.3054582476615906,,,,
20250117,0.20661722123622894,0.2772044241428375,0.2231113761663437,0.34010300040245056,0.3551981449127197,0.2896883189678192,0.3230142891407013,0.4701581299304962
20250118,0.1940542310476303,0.23597483336925507,,,,0.3133503794670105,0.2999208867549896,0.36387550830841064
20250119,,,0.16207599639892578,,,0.25691673159599304,0.23369483649730682,0.20163190364837646
20250120,0.2531258165836334,,,,,0.21864628791809082,0.2562035024166107,0.3305780589580536
20250121,0.17269355058670044,0.2280580848455429,0.19348466396331787,0.19673186540603638,,,,
20250122,0.1787952482700348,,,,0.2973543107509613,0.3455723226070404,,
20250123,,,0.1902066171169281,0.26869094371795654,,,,
20250124,,,,,0.2357543706893921,0.33866018056869507,0.3272327184677124,0.3251494765281677
20250125,,,,,0.39494433999061584,0.33472517132759094,0.5168339610099792,0.6193579435348511
20250126,0.10004033148288727,,,,,,,
20250127,0.223855122923851,0.29033517837524414,0.17800432443618774,0.2600768208503723,,,,
20250128,0.21804627776145935,0.27145323157310486,0.1911058872938156,0.3364328145980835,0.26368510723114014,0.30622202157974243,0.31659719347953796,0.3148139715194702
20250129,0.23874586820602417,0.2652236223220825,0.17365990579128265,0.35971328616142273,0.34229418635368347,0.3558526635169983,0.334286093711853,0.3037087321281433
20250130,,,,0.37638333439826965,0.40678972005844116,0.2743300795555115,0.36381804943084717,0.37462711334228516
20250131,0.2571105659008026,0.30741065740585327,,,,,0.4295084476470947,0.43390125036239624
20250201,0.15460923314094543,0.18586121499538422,0.21486318111419678,0.402672678232193,0.4758128225803375,0.5844491720199585,,
20250202,0.2078905999660492,0.35125732421875,0.1820652037858963,0.28580695390701294,0.32817891240119934,0.39994245767593384,0.3397543728351593,0.40888744592666626
20250203,0.13700854778289795,0.1941550076007843,,0.2457323521375656,0.3754364252090454,0.40071603655815125,0.32560259103775024,0.3953348994255066
20250204,,,0.13585908710956573,0.14451950788497925,,,,0.4350052773952484
20250205,0.23772504925727844,,,,,0.35383954644203186,0.41365328431129456,0.4139366149902344
20250206,,,0.2623581886291504,0.3534132242202759,,,,
20250207,0.2785431742668152,,,,,0.23159384727478027,,
20250208,0.3316487967967987,0.3350699543952942,0.255644291639328,0.4518551528453827,0.5064696669578552,0.7687710523605347,0.47978460788726807,0.49404439330101013
20250209,,,0.41216030716896057,0.5517939925193787,0.7776268124580383,0.6547635197639465,0.6061686873435974,0.5574070811271667
20250210,0.2943512201309204,,,0.5608463287353516,0.9751502871513367,0.648184597492218,,
20250211,0.2638525068759918,0.3255223333835602,0.25200533866882324,0.3538361191749573,,,0.5240910649299622,0.5500693321228027
20250212,0.13732825219631195,0.32355350255966187,0.2912733852863312,0.4149782955646515,,,,
20250213,0.17521148920059204,0.32422754168510437,0.25950977206230164,0.3879396319389343,,0.4735569953918457,0.3551889657974243,0.3807031512260437
20250214,0.26650065183639526,0.4121374487876892,0.208262637257576,0.3604128956794739,0.3789515197277069,0.5230440497398376,0.39191877841949463,0.2789385914802551
20250215,,,0.2130819410085678,0.4535195827484131,0.46331465244293213,0.5854512453079224,0.42588338255882263,0.30877581238746643
20250216,,,,,,0.7839184999465942,0.48777949810028076,0.45733508467674255
20250217,,,,,,,,
20250218,,,,,0.8235652446746826,0.7522585391998291,0.5186963677406311,0.4592287540435791
20250219,0.3053315579891205,0.40465909242630005,0.40356218814849854,0.5796840786933899,0.7871866822242737,0.8057353496551514,0.5254783630371094,0.5767462253570557
20250220,,0.3603886067867279,0.41973569989204407,0.6160001158714294,0.9685463309288025,0.773718535900116,0.5561596751213074,0.5318388938903809
20250221,0.19691886007785797,0.5990782976150513,,0.5239670276641846,0.8250959515571594,,0.5965136885643005,0.4725123941898346
20250222,0.18624837696552277,0.3525969684123993,0.3754126727581024,0.43166667222976685,,,,
20250223,0.34691518545150757,0.44120511412620544,0.3082496225833893,0.4407709538936615,0.6437863111495972,0.5269378423690796,0.4030454456806183,0.3503294587135315
20250224,0.3696744740009308,0.44032132625579834,0.3591843545436859,0.514560878276825,0.7608332633972168,0.5877320170402527,0.3448922038078308,0.41996845602989197
20250225,0.3878994286060333,0.3195412755012512,0.373228520154953,0.5651664733886719,0.7506766319274902,0.5274034142494202,0.3494671583175659,0.3881259560585022
20250226,,,,,,0.4400396943092346,0.34493955969810486,0.3287290334701538
20250227,,,,,0.5451328158378601,0.4109141230583191,0.34419360756874084,0.4129864275455475
20250228,0.288289338350296,0.4027133584022522,0.20735538005828857,,,0.3710867762565613,0.28798308968544006,
20250301,0.25576600432395935,0.32855919003486633,0.282444030046463,0.3841923773288727,0.4595564305782318,0.325376033782959,0.28011196851730347,0.22032034397125244
20250302,0.2851470112800598,0.34387364983558655,0.2545769512653351,0.3993529677391052,0.5201088786125183,0.3358285129070282,0.29828745126724243,0.2992154359817505
20250303,0.2587355673313141,,0.37077030539512634,0.5454939603805542,0.5986196398735046,0.34073883295059204,0.33567172288894653,0.368401437997818
20250304,,,,,,0.35711222887039185,0.3377169668674469,0.380346417427063
20250305,0.35901620984077454,,,0.36309024691581726,,,,
20250306,0.40318620204925537,0.6679040789604187,0.42125415802001953,0.8585861325263977,0.36233100295066833,0.30315548181533813,0.3808026909828186,0.5738862752914429
20250307,0.42123159766197205,0.5394540429115295,0.39767971634864807,0.6022273302078247,0.7885708808898926,0.5362321138381958,0.4832959771156311,0.6652571558952332
20250308,0.4274865686893463,0.5208626985549927,0.3786332905292511,0.584791362285614,0.7309550642967224,0.3874713182449341,0.4343927800655365,0.24973715841770172
20250309,0.311385840177536,0.4026099443435669,0.35461464524269104,,,0.3591015040874481,0.42209431529045105,0.48392337560653687
20250310,0.2570820152759552,0.3385382294654846,0.3062262237071991,0.5544092059135437,0.6751346588134766,0.39909860491752625,0.2975523769855499,0.2921651303768158
20250311,0.3327733874320984,0.3983536958694458,0.32858285307884216,0.45022302865982056,0.4884372055530548,0.2945668399333954,0.30331626534461975,0.3767091631889343
20250312,0.3699798583984375,0.3419249653816223,0.375887930393219,0.5562979578971863,,,,
20250313,0.26699113845825195,0.40394988656044006,,0.49250662326812744,0.6730727553367615,0.3742232024669647,0.37493327260017395,0.39808782935142517
20250314,,0.31283923983573914,,,0.6652100682258606,0.3303360044956207,0.3600562810897827,0.37635284662246704
20250315,0.22081521153450012,0.326928049325943,0.3252689242362976,0.3646498918533325,,,0.33777305483818054,
20250316,,,,,,,,
20250317,0.3676412105560303,,,,,,0.5488870739936829,0.5279502272605896
20250318,0.44844791293144226,0.5171146392822266,0.4503041207790375,0.642745316028595,0.7861014604568481,0.5176209211349487,0.5224666595458984,0.515079915523529
