region,lag_days,n_events,mean_chl_anomaly,p_value,significant,corr_with_magnitude,corr_p_value
GAB,78,16,0.26549165854895757,0.3187139214625615,False,-0.19411764705882353,0.47128972836210736
GAB,79,16,0.15134048588751328,0.31094771331853444,False,-0.19117647058823528,0.47816401281702825
GAB,80,16,0.15360945679158686,0.3142098015923475,False,-0.25,0.3503914791072017
GAB,81,16,0.1358356238276299,0.29099883302965623,False,-0.25,0.3503914791072017
GAB,82,16,0.10974369942033223,0.2925024841767456,False,-0.30882352941176466,0.24449869579851796
GAB,83,16,0.09977778748697827,0.33677995649676007,False,-0.3588235294117647,0.17230386289263244
GAB,84,16,0.08849617323971228,0.332762077277579,False,-0.3147058823529411,0.23515831926634445
GAB,85,16,0.10368982342160533,0.2885269992429532,False,-0.3588235294117647,0.17230386289263244
GAB,86,16,0.11805384156870703,0.2628658681371972,False,-0.35000000000000003,0.18386882202619317
GAB,87,16,0.09380789221308776,0.281338668122276,False,-0.19411764705882353,0.47128972836210736
GAB,88,16,0.0911022085607762,0.2746049845297022,False,-0.24705882352941175,0.35627504151257705
GAB,89,16,0.08357047203129961,0.28309365006862286,False,-0.09999999999999999,0.7125163701282782
GAB,90,16,0.085072835401765,0.24460387976721906,False,0.008823529411764706,0.9741279946623942
KI - E,0,17,0.2828928676013853,0.05092212453559888,False,0.32107843137254904,0.208898183250939
KI - E,1,17,0.2620295694103094,0.027810144210062716,True,0.29901960784313725,0.24365533759455604
KI - E,2,17,0.26010675588909654,0.018878952534453517,True,0.32352941176470595,0.20524666282786772
KI - E,3,17,0.2058948188894937,0.04135354504333737,True,0.19607843137254904,0.4507049808818775
KI - E,4,17,0.16885291409759629,0.04438131316944965,True,0.15686274509803924,0.5476805847029371
KI - E,5,17,0.1557994193264416,0.03124572541758805,True,0.15441176470588236,0.5540319990921863
KI - E,6,17,0.14326997361346788,0.04255505124007188,True,0.13970588235294118,0.5928010818860754
KI - E,7,17,0.1260338467751898,0.023969890455100926,True,-0.04656862745098039,0.8591333762840925
KI - E,8,17,0.17663742721247738,0.0269834242453062,True,-0.007352941176470588,0.9776558930236225
KI - E,9,17,0.16446306249674625,0.037028313837594674,True,-0.13970588235294118,0.5928010818860754
KI - E,10,17,0.1690362215918653,0.050839248953854804,False,-0.14950980392156862,0.5668307307163287
KI - E,11,17,0.24248391275896744,0.03763881122384287,True,-0.13480392156862747,0.6059663630124608
KI - E,12,17,0.2230595381236544,0.05272903243252102,False,-0.14950980392156862,0.5668307307163287
KI - E,13,17,0.22620383130610827,0.06749009451300306,False,-0.06617647058823531,0.800774094340852
KI - E,14,17,0.24449808370499385,0.06841569142511815,False,-0.11274509803921569,0.666592049963725
KI - E,15,17,0.21356794948921815,0.0923844096417885,False,-0.07843137254901962,0.7647798831352097
KI - E,16,17,0.19675906373589647,0.07694257237024033,False,-0.10784313725490197,0.6803504180481621
KI - E,17,17,0.18086654858178453,0.07488987870091375,False,-0.12254901960784316,0.639378272107459
KI - E,18,17,0.13948527216827836,0.06424344306182891,False,-0.06127450980392158,0.8152828502754565
KI - E,19,17,0.14376671233681404,0.04927080684660779,True,-0.10049019607843139,0.7011667687510688
KI - E,20,17,0.14542641090411765,0.05136620251076866,False,-0.12500000000000003,0.6326406085600336
KI - E,21,17,0.1523168957909616,0.024590675319984524,True,-0.002450980392156863,0.992551188788469
KI - E,22,17,0.1746069514283947,0.024235134847608975,True,0.022058823529411766,0.9330304490530753
KI - E,23,16,0.18516078740358355,0.02606836403423435,True,0.12058823529411765,0.6564245147485952
KI - E,24,16,0.18955723769031466,0.03189202962275407,True,-0.02941176470588235,0.9138955872505001
KI - E,25,16,0.17783288744588696,0.055337048113296546,False,-0.10294117647058824,0.7044103818167706
KI - E,26,17,0.16439178780305622,0.15457485712115207,False,-0.21813725490196081,0.4002950907115109
KI - E,27,17,0.17242306681240308,0.16567463494143414,False,-0.37009803921568635,0.1436754727309515
KI - E,28,17,0.15282160633919284,0.15954640648003263,False,-0.25490196078431376,0.32346003406511037
KI - E,29,17,0.1434557772734586,0.1947654958267819,False,-0.26470588235294124,0.3045422200057608
KI - E,30,17,0.153391069875044,0.2238061283517385,False,-0.3357843137254902,0.1876141178747958
KI - E,31,17,0.16790379169775324,0.17466321445190447,False,-0.27696078431372556,0.281843162514077
KI - E,32,16,0.178299307965097,0.10990105457879637,False,-0.26176470588235295,0.3274104118125859
KI - E,33,16,0.1658343856466845,0.09697727274168488,False,-0.07941176470588236,0.770025319039825
KI - E,34,16,0.14038778015944572,0.07684830135108908,False,-0.047058823529411764,0.8626036946668731
KI - E,35,16,0.1306370387674265,0.10042607222431493,False,-0.014705882352941175,0.956891924031642
KI - E,36,16,0.18079989971593025,0.1250178238986947,False,-0.2411764705882353,0.36820660804263405
KI - E,37,16,0.23138043470680714,0.07723028206615835,False,-0.23823529411764705,0.37425412972798844
KI - E,38,16,0.23483447498154075,0.04120580226059165,True,-0.12352941176470587,0.6485420669723405
KI - E,39,16,0.2230824412467579,0.07463393984410886,False,-0.18235294117647058,0.49907485724580003
KI - E,40,16,0.23050355459785177,0.06268222162390416,False,-0.3588235294117647,0.17230386289263244
