date,Ceduna-Port Lincoln,Spencer Gulf N,Spencer Gulf S,SVG - NW,SVG - NE,SVG - SW,SVG - SE,Victor Harbor,Victor Harbour-Mt Gambier,Mt Gambier-Port Fairy
20220812,14.998865127563477,12.17015552520752,12.975699424743652,,11.656615257263184,12.180289268493652,12.06194019317627,12.268413543701172,13.656000137329102,12.46689510345459
20220813,,12.974596977233887,13.760321617126465,12.40424919128418,12.378589630126953,,,14.105993270874023,13.583271026611328,13.435358047485352
20220814,14.364526748657227,,,,,,,,14.947182655334473,13.308611869812012
20220815,14.389660835266113,,14.480512619018555,,,,,,,
20220816,14.63943862915039,12.335601806640625,13.513716697692871,12.152928352355957,12.36533260345459,12.83625602722168,12.53406047821045,13.482331275939941,13.358316421508789,13.239398002624512
20220817,,,,,,,,,,
20220818,15.490823745727539,12.840893745422363,,,,,,,,
20220819,,,,,,,,13.65396499633789,14.087580680847168,13.553817749023438
20220820,14.47551441192627,12.078017234802246,12.795272827148438,,,,,,,13.79139518737793
20220821,14.49410343170166,,13.50432014465332,12.369000434875488,12.534422874450684,13.004854202270508,12.597149848937988,13.60097885131836,13.673219680786133,13.641103744506836
20220822,14.86856460571289,12.873551368713379,13.548686981201172,12.625519752502441,12.88105583190918,12.980971336364746,12.691341400146484,13.783735275268555,,
20220823,15.226675987243652,12.650969505310059,13.580450057983398,12.322465896606445,12.497979164123535,12.756654739379883,12.500797271728516,13.531196594238281,13.431568145751953,13.314960479736328
20220824,,,13.968147277832031,,,13.38522720336914,13.130784034729004,13.976592063903809,13.947547912597656,13.064538955688477
20220825,14.641345977783203,,,,,,,,,13.259919166564941
20220826,14.32699966430664,12.472911834716797,12.95766830444336,12.0562162399292,12.104188919067383,,,12.501189231872559,,
20220827,14.683744430541992,,,,,,,13.269523620605469,13.682235717773438,12.009858131408691
20220828,15.330798149108887,13.216191291809082,13.894837379455566,12.922828674316406,13.087153434753418,13.270026206970215,13.017621040344238,13.708823204040527,13.673564910888672,13.483213424682617
20220829,,,,,13.446855545043945,13.722822189331055,13.550444602966309,14.121298789978027,14.189964294433594,13.26723861694336
20220830,14.445880889892578,,,,,,,,,
20220831,14.056242942810059,12.894819259643555,13.204964637756348,12.27429485321045,,12.652911186218262,12.383484840393066,13.4077730178833,,13.32768726348877
20220901,14.453607559204102,12.951920509338379,13.150131225585938,,,,12.417997360229492,13.557327270507812,13.381811141967773,13.013899803161621
20220902,14.634279251098633,13.05417537689209,13.385421752929688,,,12.838818550109863,12.634642601013184,13.430547714233398,13.45572566986084,13.08891773223877
20220903,,13.538681030273438,14.021429061889648,13.038786888122559,13.136338233947754,13.07227611541748,12.890604972839355,13.353788375854492,13.247577667236328,12.94335651397705
20220904,,,,,,,,13.640382766723633,13.747668266296387,12.952690124511719
20220905,,,,,,,,,,13.518221855163574
20220906,14.696091651916504,13.286993026733398,13.500178337097168,,12.312499046325684,12.68083381652832,,,,11.76207447052002
20220907,,,13.89677619934082,,,13.121898651123047,13.051369667053223,13.557927131652832,13.649346351623535,13.020332336425781
20220908,14.915124893188477,13.184652328491211,13.764480590820312,,,,,,,12.955495834350586
20220909,,,,,,13.706982612609863,,14.347176551818848,13.460431098937988,12.894487380981445
20220910,14.604248046875,,,,,,,,,13.945884704589844
20220911,14.304080963134766,13.321348190307617,13.019499778747559,,,,,,,
20220912,14.256240844726562,13.474496841430664,13.081319808959961,13.053215026855469,13.190875053405762,12.693280220031738,12.484885215759277,,13.116796493530273,12.864712715148926
20220913,14.947154998779297,13.7348051071167,13.751683235168457,13.278486251831055,13.439167022705078,13.050249099731445,12.956991195678711,13.236785888671875,13.018924713134766,12.962138175964355
20220914,,,14.166999816894531,,14.132832527160645,13.96210765838623,13.901813507080078,14.032007217407227,13.458159446716309,13.044767379760742
20220915,14.617959976196289,,,,,,,,13.958255767822266,13.569733619689941
20220916,14.575199127197266,13.266874313354492,13.612895965576172,,12.708815574645996,,,13.418636322021484,,13.00483226776123
